generator:output:electricity,manufacturer,model,name,longitude,latitude
1.3 MW,Nordex,N-60,,11.2318459,52.1521629
150 kW,,,,7.7203437,53.0022406
150 kW,,,,8.8511439,52.8314251
1.3 MW,Nordex,N 60,,11.6560737,51.8740816
1.3 MW,,,,8.7915298,51.6180561
1.3 MW,,,,12.1755927,54.0211454
1.3 MW,,,,12.1671445,54.0189497
1.3 MW,,,,12.1703031,54.0193991
1.3 MW,,,,8.7969757,51.6142701
1.3 MW,,,,12.1804271,54.0231298
1.3 MW,Nordex,N-62,,11.2794665,52.1657061
1.3 MW,Nordex,N-62,,11.2750065,52.1651888
1.3 MW,Nordex,N62/1300,,8.2957143,52.7680909
1.3 MW,Nordex,N62/1300,,8.295394,52.766259
1.3 MW,Nordex,N62/1300,,8.2999437,52.7670031
1.3 MW,Nordex,N-62,,11.271055,52.1714442
1.3 MW,Nordex,N-62,,11.2766169,52.1712021
1.3 MW,Nordex,N-62,,11.2844704,52.1703598
1.3 MW,Nordex,N-62,,11.2854574,52.1662905
250 kW,,,,7.8524603,51.5650126
250 kW,Nordex,N27/150,,8.7781476,52.6461341
150 kW,,,,7.7911727,51.4925249
1.3 MW,Nordex,N62,04WEA1432,10.7992408,52.7077482
1.3 MW,Nordex,N62,01WEA1433,10.788469,52.7108727
1.3 MW,Nordex,N62,02WEA1429,10.7897022,52.7078346
1.3 MW,Nordex,N62,03WEA1431,10.7899686,52.7046317
1.3 MW,Nordex,N62,05WEA1434,10.8046211,52.7094788
250 kW,Nordex,N29,NX188-2,9.700097,52.077219
250 kW,,,,9.284546,51.650461
250 kW,,,,9.284713,51.651666
250 kW,Nordex,N29,NX187-3,9.700685,52.076541
250 kW,,,,8.5031369,52.4492647
250 kW,Nordex,N29/250,,8.0538654,50.6708369
250 kW,,,,8.500125,52.4499945
150 kW,,,,8.1009224,51.5043328
250 kW,,,,10.8621361,52.3594587
250 kW,,,,10.8646683,52.3582737
250 kW,,,,6.7861309,51.8469401
250 kW,,,,8.4406,52.428715
250 kW,,,,9.038465,52.2130107
250 kW,,,,9.0395909,52.2126154
600 kW,,,,8.881097,51.052214
600 kW,,,,8.5136831,52.4536069
600 kW,,,,8.5127625,52.4506739
600 kW,,,,8.8800409,51.05099
600 kW,,,,8.5119133,52.44782
600 kW,,,,8.5300244,52.4533663
600 kW,,,,8.5149497,52.4464412
600 kW,,,,9.082958,50.952851
600 kW,,,,9.4890836,52.5142642
0.8 MW,Enercon,E-53,,8.3617054,51.510257
600 kW,,,,9.0549549,52.1263296
600 kW,Nordex,N43,,9.7511649,51.2185668
600 kW,,,,8.5189437,52.4516732
